CWE ID,Frequency
CWE-119,6407
CWE-79,4301
CWE-264,3761
CWE-200,3523
NVD-CWE-noinfo,3195
CWE-20,3154
CWE-284,2054
CWE-310,1922
CWE-399,1523
NVD-CWE-Other,1402
CWE-89,1244
CWE-352,998
CWE-22,788
CWE-125,578
CWE-254,546
CWE-287,525
CWE-94,476
CWE-476,476
CWE-416,462
CWE-189,459
CWE-255,435
CWE-77,336
CWE-190,329
CWE-362,324
CWE-19,256
CWE-787,250
CWE-78,219
CWE-295,189
CWE-17,171
CWE-400,151
CWE-426,145
CWE-611,143
CWE-59,141
CWE-601,118
CWE-798,114
CWE-434,108
CWE-74,101
CWE-502,96
CWE-275,74
CWE-415,66
CWE-285,60
CWE-918,59
CWE-369,58
CWE-326,50
CWE-704,46
CWE-345,41
CWE-134,39
CWE-320,35
CWE-388,34
CWE-16,34
CWE-384,33
CWE-532,31
CWE-191,25
CWE-640,24
CWE-129,24
CWE-427,21
CWE-417,19
CWE-327,19
CWE-306,18
CWE-93,17
CWE-346,17
CWE-428,15
CWE-347,14
CWE-613,13
CWE-358,13
CWE-113,12
CWE-754,11
CWE-361,11
CWE-118,11
CWE-91,10
CWE-331,8
CWE-90,7
CWE-444,7
CWE-330,7
CWE-824,6
CWE-18,6
CWE-338,5
CWE-297,5
CWE-199,5
CWE-332,4
CWE-172,4
CWE-116,4
CWE-769,3
CWE-682,3
CWE-371,3
CWE-21,3
CWE-123,3
CWE-943,2
CWE-88,2
CWE-749,2
CWE-693,2
CWE-665,2
CWE-534,2
CWE-407,2
CWE-404,2
CWE-185,2
CWE-184,2
CWE-1,2
CWE-99,1
CWE-913,1
CWE-775,1
CWE-669,1
CWE-664,1
CWE-552,1
CWE-538,1
CWE-485,1
CWE-441,1
